 INFO  Accepting connections at http://localhost:8080
 HTTP  21/8/2026 4:53:42 p. m. ::1 GET /index.html
 HTTP  21/8/2026 4:53:42 p. m. ::1 Returned 301 in 66 ms
 HTTP  21/8/2026 4:53:42 p. m. ::1 GET /index
 HTTP  21/8/2026 4:53:42 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 4:53:42 p. m. ::1 GET /
 HTTP  21/8/2026 4:53:42 p. m. ::1 Returned 200 in 4 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /carousel.js
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /intro.js
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 33 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 31 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 30 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 34 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 34 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /experiences.js
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 63 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 26 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 28 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 16 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 6 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 4 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 5 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl2677_1_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl2348_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl5742_1%20(1).webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl2909_1_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl2700_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 9 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 10 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 10 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 10 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 10 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 11 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/img_0487_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_54_pm_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl5428_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_54_pm_1_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/img_0488_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 8 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 7 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl5533_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 8 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 5 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 7 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_1_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 8 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_4_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/imgl2689_1_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 5 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/img_0528_jpg_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 10 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_52_pm_2_1.webp
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 10 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 9 ms
 HTTP  21/8/2026 4:54:01 p. m. ::1 Returned 200 in 5 ms
 HTTP  21/8/2026 4:54:02 p. m. ::1 GET /favicon.ico
 HTTP  21/8/2026 4:54:02 p. m. ::1 Returned 404 in 1 ms
 HTTP  21/8/2026 4:54:08 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:54:08 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:16 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:54:16 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /show-fuego.html
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 301 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /show-fuego
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:54:20 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:54:20 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /index.html
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 301 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /index
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /carousel.js
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /intro.js
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /experiences.js
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:57:10 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:57:10 p. m. ::1 Returned 304 in 1 ms
